Candidate_ID,Resume_Text,Skills,Experience (Years),Education,Certifications,Applied_Job_Title,Required_Skills,Industry,Job_Description,Work_Type,Location,Salary_Expectation,Offered_Salary,Application_Status,Hired,Performance_Score
CAND_1000,"Candidate 0 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","Java, Spring Boot, Microservices",10,Diploma,Certified Ethical Hacker,AI Engineer,"React, JavaScript, Node.js",Finance,"Looking for a AI Engineer with skills in React, JavaScript, Node.js.",Remote,New York,51629,50926,Rejected,0,
CAND_1001,"Candidate 1 has experience in C++, Embedded Systems, IoT.","SQL, Data Analysis, Tableau",13,Master's,Google Data Engineer,AI Engineer,"Java, Spring Boot, Microservices",E-commerce,"Looking for a AI Engineer with skills in Java, Spring Boot, Microservices.",Remote,New York,86069,84820,Hired,1,0.57
CAND_1002,"Candidate 2 has experience in Deep Learning, TensorFlow, PyTorch.","C++, Embedded Systems, IoT",7,Diploma,None,DevOps Engineer,"C++, Embedded Systems, IoT",Education,"Looking for a DevOps Engineer with skills in C++, Embedded Systems, IoT.",On-site,New York,81395,80620,Shortlisted,0,
CAND_1003,"Candidate 3 has experience in Java, Spring Boot, Microservices.","Java, Spring Boot, Microservices",5,Bachelor's,PMP,DevOps Engineer,"Cybersecurity, Penetration Testing, Risk Assessment",E-commerce,"Looking for a DevOps Engineer with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,London,85138,88639,Shortlisted,0,
CAND_1004,"Candidate 4 has experience in React, JavaScript, Node.js.","AWS, DevOps, Kubernetes",5,Bachelor's,None,AI Engineer,"Deep Learning, TensorFlow, PyTorch",Healthcare,"Looking for a AI Engineer with skills in Deep Learning, TensorFlow, PyTorch.",Remote,San Francisco,66244,63446,Interviewed,0,
CAND_1005,"Candidate 5 has experience in C++, Embedded Systems, IoT.","SQL, Data Analysis, Tableau",8,Diploma,Google Data Engineer,DevOps Engineer,"C++, Embedded Systems, IoT",IT,"Looking for a DevOps Engineer with skills in C++, Embedded Systems, IoT.",Remote,Berlin,68951,67559,Shortlisted,0,
CAND_1006,"Candidate 6 has experience in SQL, Data Analysis, Tableau.","Python, Machine Learning, NLP",13,Master's,Certified Ethical Hacker,Data Scientist,"Cybersecurity, Penetration Testing, Risk Assessment",IT,"Looking for a Data Scientist with skills in Cybersecurity, Penetration Testing, Risk Assessment.",On-site,Berlin,73696,72783,Hired,1,0.47
CAND_1007,"Candidate 7 has experience in SQL, Data Analysis, Tableau.","React, JavaScript, Node.js",12,PhD,Google Data Engineer,AI Engineer,"C++, Embedded Systems, IoT",Finance,"Looking for a AI Engineer with skills in C++, Embedded Systems, IoT.",Remote,New York,118298,116763,Hired,1,0.62
CAND_1008,"Candidate 8 has experience in SQL, Data Analysis, Tableau.","AWS, DevOps, Kubernetes",14,Master's,Certified Ethical Hacker,Security Analyst,"React, JavaScript, Node.js",Education,"Looking for a Security Analyst with skills in React, JavaScript, Node.js.",On-site,New York,81194,76753,Hired,1,0.02
CAND_1009,"Candidate 9 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","React, JavaScript, Node.js",10,Bachelor's,PMP,Security Analyst,"Cybersecurity, Penetration Testing, Risk Assessment",IT,"Looking for a Security Analyst with skills in Cybersecurity, Penetration Testing, Risk Assessment.",Hybrid,Berlin,64589,69205,Hired,1,0.65
CAND_1010,"Candidate 10 has experience in SQL, Data Analysis, Tableau.","AWS, DevOps, Kubernetes",6,PhD,AWS Certified,Security Analyst,"React, JavaScript, Node.js",Finance,"Looking for a Security Analyst with skills in React, JavaScript, Node.js.",Remote,San Francisco,104802,107779,Shortlisted,0,
CAND_1011,"Candidate 11 has experience in Cybersecurity, Penetration Testing, Risk Assessment.","AWS, DevOps, Kubernetes",1,Bachelor's,AWS Certified,DevOps Engineer,"C++, Embedded Systems, IoT",IT,"Looking for a DevOps Engineer with skills in C++, Embedded Systems, IoT.",Hybrid,New York,119797,119848,Hired,1,0.42
CAND_1012,"Candidate 12 has experience in Python, Machine Learning, NLP.","Cybersecurity, Penetration Testing, Risk Assessment",11,Bachelor's,None,AI Engineer,"Java, Spring Boot, Microservices",IT,"Looking for a AI Engineer with skills in Java, Spring Boot, Microservices.",On-site,London,100361,99995,Interviewed,0,
CAND_1013,"Candidate 13 has experience in Python, Machine Learning, NLP.","React, JavaScript, Node.js",9,PhD,Google Data Engineer,Data Scientist,"SQL, Data Analysis, Tableau",Education,"Looking for a Data Scientist with skills in SQL, Data Analysis, Tableau.",Hybrid,Berlin,123408,126511,Interviewed,0,
